model_id,model_name,algorithm,feature_set,tuned,smote,accuracy,qwk,f1_macro,f1_weighted,precision_macro,recall_macro,training_time_seconds,tuning_time_seconds,inference_time_seconds_total,inference_time_ms_per_sample,inference_batch_size,hyperparameters,n_train_samples,n_val_samples,n_features,n_classes,model_size_mb,n_tuning_trials,hostname,platform_info,python_version,timestamp
model_1_rf_ohe_default,"Random Forest (OHE raw, default)",RandomForest,ohe_raw,False,False,0.38312770923641215,0.3010726004222821,0.3239601840022683,0.37574193553690344,0.3299195813114972,0.3397122453818533,11.943195917003322,,0.26285116700455546,0.08764627109188244,2999,"{'n_estimators': 500, 'max_depth': None, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'class_weight': 'balanced', 'random_state': 42, 'n_jobs': -1}",11994,2999,365,5,62.705620765686035,,JVGKQPFW53,macOS-26.5.1-arm64-arm-64bit-Mach-O,3.13.5,2026-07-09T12:18:52.183750
model_2_rf_ohe_tuned,"Random Forest (OHE raw, tuned)",RandomForest,ohe_raw,True,False,0.3884628209403134,0.3314883901807295,0.3340604645881782,0.38079569617627146,0.33898100339538695,0.3386450128466162,36.66356029099552,605.9675643329974,0.29382062499644235,0.09797286595413217,2999,"{'n_estimators': 350, 'max_depth': 29, 'min_samples_leaf': 3, 'max_features': 0.5, 'class_weight': 'balanced', 'random_state': 42, 'n_jobs': -1, 'min_samples_split': 2}",11994,2999,365,5,117.96967601776123,20.0,JVGKQPFW53,macOS-26.5.1-arm64-arm-64bit-Mach-O,3.13.5,2026-07-09T12:19:04.669600
model_3_lgbm_ohe_tuned,"LightGBM (OHE raw, tuned)",LightGBM,ohe_raw,True,False,0.3907969323107703,0.34593269442965413,0.336449221446593,0.38506923924816616,0.34839523760406516,0.3353197213578713,14.409559749998152,213.93520987499505,2.5959040420129895,0.8655898772967621,2999,"{'n_estimators': 650, 'learning_rate': 0.02029421764825436, 'num_leaves': 127, 'max_depth': 11, 'min_child_samples': 37, 'subsample': 0.5167929424672362, 'colsample_bytree': 0.9914594137796198, 'class_weight': 'balanced', 'random_state': 42, 'n_jobs': -1, 'verbosity': -1, 'reg_alpha': 0.37947060877945077, 'reg_lambda': 8.810946333714403, 'objective': 'multiclass', 'num_class': 5}",11994,2999,365,5,27.260043144226074,20.0,JVGKQPFW53,macOS-26.5.1-arm64-arm-64bit-Mach-O,3.13.5,2026-07-09T12:29:47.990262
model_4_rf_breedpca_tuned,"Random Forest (Breed PCA, tuned)",RandomForest,breed_pca,True,False,0.3901300433477826,0.3403200198602263,0.33091580308859686,0.38298907761585477,0.3326645322590743,0.3380803297820139,29.955410333001055,543.666175958002,0.21905079198768362,0.07304127775514625,2999,"{'n_estimators': 450, 'max_depth': 25, 'min_samples_leaf': 3, 'max_features': 0.5, 'class_weight': 'balanced', 'random_state': 42, 'n_jobs': -1, 'min_samples_split': 9}",11994,2999,73,5,112.95726203918457,20.0,JVGKQPFW53,macOS-26.5.1-arm64-arm-64bit-Mach-O,3.13.5,2026-07-09T12:33:39.911462
model_5_lgbm_breedpca_tuned,"LightGBM (Breed PCA, tuned)",LightGBM,breed_pca,True,False,0.4061353784594865,0.34777562724439315,0.3314025606983296,0.3889687478104045,0.4641787612738818,0.3310447204389463,31.54945945800864,258.70036783401156,2.5005382909730542,0.8337906938889811,2999,"{'n_estimators': 750, 'learning_rate': 0.0032146976962749586, 'num_leaves': 252, 'max_depth': 10, 'min_child_samples': 5, 'subsample': 0.510456783241702, 'colsample_bytree': 0.701090580045349, 'class_weight': None, 'random_state': 42, 'n_jobs': -1, 'verbosity': -1, 'reg_alpha': 0.006295161455662628, 'reg_lambda': 0.004802586909778848, 'objective': 'multiclass', 'num_class': 5}",11994,2999,73,5,84.14372634887695,20.0,JVGKQPFW53,macOS-26.5.1-arm64-arm-64bit-Mach-O,3.13.5,2026-07-09T12:47:45.689305
model_6_lgbm_embeddings_tuned,"LightGBM (Image Embeddings PCA-64, tuned)",LightGBM,embeddings_pca64,True,False,0.40880293431143716,0.3447141354161266,0.3380922879353987,0.4011178177956921,0.3635532675258485,0.3379138025870718,47.92548341699876,696.5491499159834,1.6530143749841955,0.5511885211684546,2999,"{'n_estimators': 950, 'learning_rate': 0.014782014634883782, 'num_leaves': 43, 'max_depth': 11, 'min_child_samples': 78, 'subsample': 0.7806385987847482, 'colsample_bytree': 0.8854835899772805, 'class_weight': 'balanced', 'random_state': 42, 'n_jobs': -1, 'verbosity': -1, 'reg_alpha': 0.09444574254983562, 'reg_lambda': 0.12329098365270519, 'objective': 'multiclass', 'num_class': 5}",11994,2999,137,5,21.234225273132324,20.0,JVGKQPFW53,macOS-26.5.1-arm64-arm-64bit-Mach-O,3.13.5,2026-07-09T12:52:40.947425
model_7_lgbm_embeddings_smote_tuned,"LightGBM (Image Embeddings PCA-64 + SMOTE, tuned)",LightGBM,embeddings_pca64,True,True,0.41213737912637544,0.36322411211765604,0.33666166877657144,0.4003353275250742,0.370101720763267,0.3371071990527651,72.91672624999774,1230.5175948329852,2.0296411250019446,0.6767726325448299,2999,"{'n_estimators': 850, 'learning_rate': 0.059544609239997284, 'num_leaves': 100, 'max_depth': 12, 'min_child_samples': 100, 'subsample': 0.8016581618820297, 'colsample_bytree': 0.9011626055134058, 'class_weight': None, 'random_state': 42, 'n_jobs': -1, 'verbosity': -1, 'reg_alpha': 0.1457559369055311, 'reg_lambda': 0.6602498791787775, 'objective': 'multiclass', 'num_class': 5}",16785,2999,137,5,34.38506317138672,20.0,JVGKQPFW53,macOS-26.5.1-arm64-arm-64bit-Mach-O,3.13.5,2026-07-09T13:05:15.284843
