model_id,model_name,algorithm,feature_set,tuned,smote,accuracy,qwk,f1_macro,training_time_seconds,tuning_time_seconds,inference_time_ms_per_sample,n_features,n_train_samples,n_val_samples,hostname
model_1_rf_ohe_default,"Random Forest (OHE raw, default)",RandomForest,ohe_raw,False,False,0.38312770923641215,0.3010726004222821,0.3239601840022683,11.943195917003322,,0.08764627109188244,365,11994,2999,JVGKQPFW53
model_2_rf_ohe_tuned,"Random Forest (OHE raw, tuned)",RandomForest,ohe_raw,True,False,0.3884628209403134,0.3314883901807295,0.3340604645881782,36.66356029099552,605.9675643329974,0.09797286595413217,365,11994,2999,JVGKQPFW53
model_3_lgbm_ohe_tuned,"LightGBM (OHE raw, tuned)",LightGBM,ohe_raw,True,False,0.3907969323107703,0.34593269442965413,0.336449221446593,14.409559749998152,213.93520987499505,0.8655898772967621,365,11994,2999,JVGKQPFW53
model_4_rf_breedpca_tuned,"Random Forest (Breed PCA, tuned)",RandomForest,breed_pca,True,False,0.3901300433477826,0.3403200198602263,0.33091580308859686,29.955410333001055,543.666175958002,0.07304127775514625,73,11994,2999,JVGKQPFW53
model_5_lgbm_breedpca_tuned,"LightGBM (Breed PCA, tuned)",LightGBM,breed_pca,True,False,0.4061353784594865,0.34777562724439315,0.3314025606983296,31.54945945800864,258.70036783401156,0.8337906938889811,73,11994,2999,JVGKQPFW53
model_6_lgbm_embeddings_tuned,"LightGBM (Image Embeddings PCA-64, tuned)",LightGBM,embeddings_pca64,True,False,0.40880293431143716,0.3447141354161266,0.3380922879353987,47.92548341699876,696.5491499159834,0.5511885211684546,137,11994,2999,JVGKQPFW53
model_7_lgbm_embeddings_smote_tuned,"LightGBM (Image Embeddings PCA-64 + SMOTE, tuned)",LightGBM,embeddings_pca64,True,True,0.41213737912637544,0.36322411211765604,0.33666166877657144,72.91672624999774,1230.5175948329852,0.6767726325448299,137,16785,2999,JVGKQPFW53
